MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1914859	4930453N24Rik	RIKEN cDNA 4930453N24 gene	16		positive regulation of apoptotic process			ISO	Q5JPI3 	J:164563 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		positive regulation of apoptotic process			IMP	MGI:2153718 	J:153689 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		positive regulation of apoptotic process			ISO	P00519 	J:164563 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		positive regulation of neuron death	regulates a function/process that happens in corpus striatum|regulates a function/process that happens in substantia nigra		IMP	MGI:2176222 MGI:3525886 	J:164352 	
MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	11		positive regulation of apoptotic process			ISO	RGD:2493 	J:155856 	
MGI:1920932	Acer2	alkaline ceramidase 2	4		activation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	Q5QJU3 	J:164563 	
MGI:1920932	Acer2	alkaline ceramidase 2	4		positive regulation of cell death			ISO	Q5QJU3 	J:164563 	
MGI:1891824	Acin1	apoptotic chromatin condensation inducer 1	14		positive regulation of apoptotic process			ISO	Q9UKV3 	J:164563 	
MGI:1934852	Acox2	acyl-Coenzyme A oxidase 2, branched chain	14		positive regulation of cell death			ISO	Q99424 	J:164563 	
MGI:2661081	Acvr1c	activin A receptor, type IC	2		positive regulation of apoptotic process			ISO	Q8NER5 	J:73065 	
MGI:2661081	Acvr1c	activin A receptor, type IC	2		positive regulation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	Q8NER5 	J:164563 	
MGI:107825	Adam8	a disintegrin and metallopeptidase domain 8	7		positive regulation of thymocyte apoptotic process			IMP		J:165123 	
MGI:109548	Adam10	a disintegrin and metallopeptidase domain 10	9		positive regulation of apoptotic process			ISO	RGD:2032 	J:155856 	
MGI:1096335	Adam17	a disintegrin and metallopeptidase domain 17	12		positive regulation of apoptotic process			ISO	RGD:620404 	J:155856 	
MGI:2389008	Adamtsl4	ADAMTS-like 4	3		positive regulation of apoptotic process			ISO	Q6UY14 	J:164563 	
MGI:2660854	Adcy10	adenylate cyclase 10	1		positive regulation of apoptotic process			ISO	RGD:708450 	J:155856 	
MGI:106675	Adipoq	adiponectin, C1Q and collagen domain containing	16		positive regulation of myeloid cell apoptotic process			ISO	Q15848 	J:164563 	
MGI:108058	Adm	adrenomedullin	7		positive regulation of apoptotic process			ISO	RGD:2047 	J:155856 	
MGI:99401	Adora1	adenosine A1 receptor	1		positive regulation of neuron death			ISO	RGD:2048 	J:155856 	
MGI:99402	Adora2a	adenosine A2a receptor	10		positive regulation of apoptotic signaling pathway	regulates a function/process that happens in immature alpha-beta T cell		IMP	MGI:2155985 	J:63086 	
MGI:87937	Adrb1	adrenergic receptor, beta 1	19		positive regulation of apoptotic process			ISO	RGD:2059 	J:155856 	
MGI:87938	Adrb2	adrenergic receptor, beta 2	18		positive regulation of apoptotic process			ISO	RGD:2060 	J:155856 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of apoptotic process		PR:000045351	ISO	PR:000045353 	J:73065 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of apoptotic process			ISO	RGD:69258 	J:155856 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of endothelial cell apoptotic process			ISO	RGD:69258 	J:155856 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of neuron apoptotic process			ISO	RGD:69258 	J:155856 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of neuron death			ISO	RGD:69258 	J:155856 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of type B pancreatic cell apoptotic process			ISO	RGD:69258 	J:155856 	
MGI:87961	Agrn	agrin	4		positive regulation of neuron apoptotic process	happens in cranial ganglion,regulates a function/process that happens in motor neuron		IMP	MGI:1929777 	J:70506 	
MGI:87963	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	8		positive regulation of cardiac muscle cell apoptotic process			ISO	RGD:2069 	J:155856 	
MGI:87963	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	8		positive regulation of extrinsic apoptotic signaling pathway			ISO	P01019 	J:164563 	
MGI:87966	Agtr2	angiotensin II receptor, type 2	X		positive regulation of extrinsic apoptotic signaling pathway			ISO	P50052 	J:164563 	
MGI:1349419	Aifm1	apoptosis-inducing factor, mitochondrion-associated 1	X		activation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	O95831 	J:164563 	
MGI:1349419	Aifm1	apoptosis-inducing factor, mitochondrion-associated 1	X		positive regulation of apoptotic process			TAS		J:180458 	
MGI:1349419	Aifm1	apoptosis-inducing factor, mitochondrion-associated 1	X		positive regulation of cell death			IMP		J:186001 	
MGI:1349419	Aifm1	apoptosis-inducing factor, mitochondrion-associated 1	X		positive regulation of neuron apoptotic process			ISO	RGD:620817 	J:155856 	
MGI:1918611	Aifm2	apoptosis-inducing factor, mitochondrion-associated 2	10		positive regulation of apoptotic process			IBA	PTN002464374 	J:265628 	
MGI:1918611	Aifm2	apoptosis-inducing factor, mitochondrion-associated 2	10		positive regulation of apoptotic process			ISO	Q9BRQ8 	J:164563 	
MGI:2385237	Aimp2	aminoacyl tRNA synthetase complex-interacting multifunctional protein 2	5		positive regulation of neuron death			ISO	Q32PX2 	J:73065 	
MGI:1932576	Akap12	A kinase (PRKA) anchor protein (gravin) 12	10		positive regulation of oligodendrocyte apoptotic process			ISO	RGD:70988 	J:155856 	
MGI:2145420	Akr1c18	aldo-keto reductase family 1, member C18	13		positive regulation of cell death			ISO	P42330 	J:164563 	
MGI:2145420	Akr1c18	aldo-keto reductase family 1, member C18	13		positive regulation of endothelial cell apoptotic process			ISO	P42330 	J:164563 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		positive regulation of apoptotic process			ISO	RGD:2081 	J:155856 	
MGI:1353450	Aldh1a1	aldehyde dehydrogenase family 1, subfamily A1	19		positive regulation of apoptotic process	happens in perioptic mesenchyme,regulates a function/process that happens in mesenchymal stem cell		IGI	MGI:1861722 	J:102847 J:108515 	
MGI:107928	Aldh1a2	aldehyde dehydrogenase family 1, subfamily A2	9		positive regulation of apoptotic process	happens in foot		IMP	MGI:2180721 	J:156950 	
MGI:1861722	Aldh1a3	aldehyde dehydrogenase family 1, subfamily A3	7		positive regulation of apoptotic process	happens in perioptic mesenchyme,regulates a function/process that happens in mesenchymal stem cell		IGI	MGI:1353450 	J:102847 J:108515 	
MGI:1861722	Aldh1a3	aldehyde dehydrogenase family 1, subfamily A3	7		positive regulation of apoptotic process	happens in perioptic mesenchyme,regulates a function/process that happens in mesenchymal stem cell		IMP	MGI:3043947 	J:102847 	
MGI:87998	Alox12	arachidonate 12-lipoxygenase	11		positive regulation of apoptotic process			ISO	RGD:1311159 	J:155856 	
MGI:87998	Alox12	arachidonate 12-lipoxygenase	11		positive regulation of cell death			ISO	RGD:1311159 	J:155856 	
MGI:87998	Alox12	arachidonate 12-lipoxygenase	11		positive regulation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	RGD:1311159 	J:155856 	
MGI:1097717	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	19		positive regulation of apoptotic process			ISO	Q15327 	J:164563 	
MGI:2145890	Ano6	anoctamin 6	15		positive regulation of apoptotic process	happens in macrophage		IMP		J:220493 	
MGI:2145890	Ano6	anoctamin 6	15		positive regulation of endothelial cell apoptotic process			ISO	Q4KMQ2 	J:164563 	
MGI:96819	Anxa1	annexin A1	19		positive regulation of apoptotic process			ISO	RGD:2118 	J:155856 	
MGI:96819	Anxa1	annexin A1	19		positive regulation of neutrophil apoptotic process			IBA	PTN002574794 	J:265628 	
MGI:96819	Anxa1	annexin A1	19		positive regulation of neutrophil apoptotic process	happens in bone marrow macrophage		IMP		J:180001 	
MGI:106008	Anxa5	annexin A5	3		positive regulation of apoptotic process			ISO	RGD:2120 	J:155856 	
MGI:1306796	Apaf1	apoptotic peptidase activating factor 1	10		activation of cysteine-type endopeptidase activity involved in apoptotic process	regulates a function/process that happens in cerebral cortex,regulates a function/process that happens in CNS neuron (sensu Vertebrata)		IGI	MGI:1349414 	J:98103 	
MGI:1306796	Apaf1	apoptotic peptidase activating factor 1	10		activation of cysteine-type endopeptidase activity involved in apoptotic process	regulates a function/process that happens in cerebral cortex,regulates a function/process that happens in CNS neuron (sensu Vertebrata)		IMP	MGI:1857868 	J:98103 	
MGI:1306796	Apaf1	apoptotic peptidase activating factor 1	10		activation of cysteine-type endopeptidase activity involved in apoptotic process	regulates a function/process that happens in fibroblast		IMP	MGI:1928692 	J:97306 	
MGI:1306796	Apaf1	apoptotic peptidase activating factor 1	10		activation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	O14727 	J:164563 	
MGI:1306796	Apaf1	apoptotic peptidase activating factor 1	10		activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c			ISO	O14727 	J:164563 	
MGI:1306796	Apaf1	apoptotic peptidase activating factor 1	10		positive regulation of apoptotic signaling pathway			IGI	MGI:1889507 	J:101402 	
MGI:107765	Apbb1	amyloid beta (A4) precursor protein-binding, family B, member 1	7		positive regulation of apoptotic process			ISO	RGD:2122 	J:155856 	
MGI:107765	Apbb1	amyloid beta (A4) precursor protein-binding, family B, member 1	7		positive regulation of apoptotic process			ISO	O00213 	J:164563 	
MGI:108405	Apbb2	amyloid beta (A4) precursor protein-binding, family B, member 2	5		positive regulation of apoptotic process			IDA		J:95351 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		canonical Wnt signaling pathway involved in positive regulation of apoptotic process			IGI	MGI:97250 	J:121434 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		positive regulation of apoptotic process	regulates a function/process that happens in fibroblast		IMP		J:119076 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		positive regulation of apoptotic process			ISO	P25054 	J:73065 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		positive regulation of cell death			ISO	P25054 	J:164563 	
MGI:88057	Apoe	apolipoprotein E	7		positive regulation of neuron death			ISO	P02649 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		positive regulation of apoptotic process			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		positive regulation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		positive regulation of neuron apoptotic process			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		positive regulation of neuron death			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		positive regulation of oxidative stress-induced neuron death			ISO	P05067 	J:164563 	
MGI:1860493	Arhgef7	Rho guanine nucleotide exchange factor (GEF7)	8		positive regulation of apoptotic process			ISO	Q14155 	J:164563 	
MGI:1929501	Arl6ip5	ADP-ribosylation factor-like 6 interacting protein 5	6		positive regulation of apoptotic process			ISO	O75915 	J:164563 	
MGI:1929501	Arl6ip5	ADP-ribosylation factor-like 6 interacting protein 5	6		positive regulation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	O75915 	J:164563 	
MGI:99473	Arrb1	arrestin, beta 1	7		positive regulation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	RGD:2156 	J:155856 	
MGI:99473	Arrb1	arrestin, beta 1	7		positive regulation of smooth muscle cell apoptotic process			ISO	RGD:2156 	J:155856 	
MGI:99474	Arrb2	arrestin, beta 2	11		positive regulation of epithelial cell apoptotic process			ISO	RGD:2157 	J:155856 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		positive regulation of neuron apoptotic process			IMP	MGI:1857470 	J:110059 	
MGI:109349	Atf2	activating transcription factor 2	2		positive regulation of neuron apoptotic process			ISO	RGD:621862 	J:155856 	
MGI:109384	Atf3	activating transcription factor 3	1		positive regulation of TRAIL-activated apoptotic signaling pathway			ISO	P18847 	J:164563 	
MGI:88096	Atf4	activating transcription factor 4	15		positive regulation of apoptotic process			IBA	PTN002660514 	J:265628 	
MGI:88096	Atf4	activating transcription factor 4	15		positive regulation of neuron apoptotic process			IMP		J:167725 	
MGI:88096	Atf4	activating transcription factor 4	15		positive regulation of vascular associated smooth muscle cell apoptotic process	happens in aortic sinus		IMP	MGI:2180373 	J:237331 	
MGI:88096	Atf4	activating transcription factor 4	15		positive regulation of vascular associated smooth muscle cell apoptotic process	happens in aortic sinus		IMP	MGI:3819270 MGI:5550363 	J:237331 	
MGI:88096	Atf4	activating transcription factor 4	15		positive regulation of vascular associated smooth muscle cell apoptotic process	happens in aortic sinus		IMP	MGI:3819270 MGI:5812282 	J:237331 	
MGI:1926157	Atf6	activating transcription factor 6	1		positive regulation of apoptotic process			ISO	P18850 	J:164563 	
MGI:1921494	Atg7	autophagy related 7	6		positive regulation of apoptotic process			ISO	O95352 	J:164563 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		positive regulation of apoptotic process			ISO	Q13315 	J:164563 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		positive regulation of neuron apoptotic process	happens in forebrain		IGI	MGI:1335098 	J:111068 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		positive regulation of neuron apoptotic process	happens in dentate gyrus,regulates a function/process that happens in CNS neuron (sensu Vertebrata)|happens in cerebellum,regulates a function/process that happens in CNS neuron (sensu Vertebrata)		IGI	MGI:99702 	J:59934 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		positive regulation of neuron apoptotic process			ISO	RGD:1593265 	J:155856 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		positive regulation of neuron death			ISO	RGD:1593265 	J:155856 	
MGI:1194503	Atp2a3	ATPase, Ca++ transporting, ubiquitous	11		activation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	Q93084 	J:164563 	
MGI:107653	Atp5g1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	11		positive regulation of neuron death			ISO	RGD:61933 	J:155856 	
MGI:1196457	Atpif1	ATPase inhibitory factor 1	4		positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway			IMP		J:158073 	
MGI:1270862	Axin2	axin 2	11		positive regulation of cell death			ISO	Q9Y2T1 	J:164563 	
MGI:95705	B4galt1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	4		positive regulation of apoptotic process	happens in mammary gland alveolus		IMP	MGI:2178779 	J:92325 	
MGI:95705	B4galt1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	4		positive regulation of apoptotic process involved in mammary gland involution	regulates a function/process that happens in mammary gland duct	PR:P15535-1	IMP	MGI:2178779 	J:92325 	
MGI:1346542	Bace1	beta-site APP cleaving enzyme 1	9		positive regulation of neuron apoptotic process			ISO	P56817 	J:164563 	
MGI:1096330	Bad	BCL2-associated agonist of cell death	19		activation of cysteine-type endopeptidase activity involved in apoptotic process			IDA		J:160042 	
MGI:1096330	Bad	BCL2-associated agonist of cell death	19		positive regulation of apoptotic process			IDA		J:173139 J:194718 	
MGI:1096330	Bad	BCL2-associated agonist of cell death	19		positive regulation of apoptotic process			ISO	A7MCM4 	J:83681 	
MGI:1096330	Bad	BCL2-associated agonist of cell death	19		positive regulation of apoptotic process			ISO	Q92934 	J:164563 	
MGI:1096330	Bad	BCL2-associated agonist of cell death	19		positive regulation of apoptotic process by virus			IDA		J:93470 	
MGI:1096330	Bad	BCL2-associated agonist of cell death	19		positive regulation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	Q92934 	J:164563 	
MGI:1096330	Bad	BCL2-associated agonist of cell death	19		positive regulation of granulosa cell apoptotic process			ISO	RGD:620103 	J:155856 	
MGI:1096330	Bad	BCL2-associated agonist of cell death	19		positive regulation of intrinsic apoptotic signaling pathway in response to osmotic stress			IDA		J:194718 	
MGI:1096330	Bad	BCL2-associated agonist of cell death	19		positive regulation of neuron death			ISO	RGD:620103 	J:155856 	
MGI:1096330	Bad	BCL2-associated agonist of cell death	19		positive regulation of release of cytochrome c from mitochondria			ISO	Q92934 	J:164563 	
MGI:108047	Bag1	BCL2-associated athanogene 1	4		positive regulation of neuron apoptotic process		PR:Q60739-1	IDA		J:162788 	
MGI:1097161	Bak1	BCL2-antagonist/killer 1	17		activation of cysteine-type endopeptidase activity involved in apoptotic process	regulates Casp12		IGI	MGI:99702 	J:84272 	
MGI:1097161	Bak1	BCL2-antagonist/killer 1	17		activation of cysteine-type endopeptidase activity involved in apoptotic process	regulates a function/process that happens in fibroblast,regulates Casp12		IGI	MGI:99702 	J:97306 	
MGI:1097161	Bak1	BCL2-antagonist/killer 1	17		activation of cysteine-type endopeptidase activity involved in apoptotic process			IMP	MGI:2159364 	J:112620 	
MGI:1097161	Bak1	BCL2-antagonist/killer 1	17		activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c			IMP	MGI:2159364 	J:76058 	
MGI:1097161	Bak1	BCL2-antagonist/killer 1	17		positive regulation of apoptotic process			IMP		J:235310 	
MGI:1097161	Bak1	BCL2-antagonist/killer 1	17		positive regulation of apoptotic process	happens in stomach epithelium		IMP	MGI:2159364 	J:124814 	
MGI:1097161	Bak1	BCL2-antagonist/killer 1	17		positive regulation of apoptotic process			ISO	Q16611 	J:164563 	
MGI:1097161	Bak1	BCL2-antagonist/killer 1	17		positive regulation of release of cytochrome c from mitochondria			ISO	RGD:621635 	J:155856 	
MGI:1328361	Bard1	BRCA1 associated RING domain 1	1		positive regulation of apoptotic process			ISO	RGD:621072 	J:155856 	
MGI:1328361	Bard1	BRCA1 associated RING domain 1	1		positive regulation of apoptotic process			ISO	Q99728 	J:164563 	
MGI:99702	Bax	BCL2-associated X protein	7		activation of cysteine-type endopeptidase activity involved in apoptotic process			IDA		J:172991 	
MGI:99702	Bax	BCL2-associated X protein	7		activation of cysteine-type endopeptidase activity involved in apoptotic process	regulates Casp12		IGI	MGI:1097161 	J:84272 J:97306 	
MGI:99702	Bax	BCL2-associated X protein	7		activation of cysteine-type endopeptidase activity involved in apoptotic process	regulates a function/process that happens in olfactory epithelium		IMP	MGI:1857429 	J:89724 	
MGI:99702	Bax	BCL2-associated X protein	7		activation of cysteine-type endopeptidase activity involved in apoptotic process	regulates a function/process that happens in parietal cortex,regulates a function/process that happens in CNS neuron (sensu Vertebrata),regulates Casp3		IMP	MGI:2158306 	J:115656 	
MGI:99702	Bax	BCL2-associated X protein	7		activation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	Q07812 	J:164563 	
MGI:99702	Bax	BCL2-associated X protein	7		activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c			IDA		J:47609 	
MGI:99702	Bax	BCL2-associated X protein	7		activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c			IMP	MGI:1857429 	J:76058 	
MGI:99702	Bax	BCL2-associated X protein	7		activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c			ISO	Q07812 	J:164563 	
MGI:99702	Bax	BCL2-associated X protein	7		activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway			IMP		J:57545 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of apoptotic DNA fragmentation			ISO	Q07812 	J:164563 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of apoptotic process			IBA	PTN000883418 	J:265628 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of apoptotic process			IDA		J:98763 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of apoptotic process	happens in urachus		IGI	MGI:102845 MGI:98834 	J:111678 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of apoptotic process			IGI	MGI:88139 	J:35335 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of apoptotic process	happens in primordial germ cell of gonad,regulates a function/process that happens in primordial germ cell		IGI	MGI:96974 	J:115283 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of apoptotic process			IGI	MGI:98834 	J:38831 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of apoptotic process			IMP		J:235310 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of apoptotic process			IMP	MGI:1857429 	J:42051 J:75666 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of apoptotic process	happens in embryo		IMP	MGI:1857429 	J:66414 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of apoptotic process	happens in stomach epithelium		IMP	MGI:1857429 	J:124814 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of apoptotic process	happens in crypt of lieberkuhn,regulates a function/process that happens in somatic stem cell		IMP	MGI:1857429 	J:94433 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of apoptotic process	happens in ovary follicle,regulates a function/process that happens in ovarian follicle cell|happens in ovary follicle,regulates a function/process that happens in oocyte		IMP	MGI:1857429 	J:52574 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of apoptotic process	regulates a function/process that happens in neuron		IMP	MGI:1857429 	J:68970 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of apoptotic process			ISO	RGD:2192 	J:155856 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of apoptotic process			ISO	Q07812 	J:164563 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of apoptotic process involved in mammary gland involution	regulates a function/process that happens in mammary gland,regulates a function/process that happens in epithelial cell		IMP	MGI:1857429 	J:55402 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of B cell apoptotic process	regulates a function/process that happens in B cell		IGI	MGI:97250 	J:72281 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of extrinsic apoptotic signaling pathway in absence of ligand		PR:Q07813-1	IDA		J:19076 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of intrinsic apoptotic signaling pathway	regulates a function/process that happens in parietal cortex,regulates a function/process that happens in CNS neuron (sensu Vertebrata)		IMP	MGI:2158306 	J:115656 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of intrinsic apoptotic signaling pathway			ISO	Q07812 	J:164563 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process	happens in dentate gyrus,regulates a function/process that happens in CNS neuron (sensu Vertebrata)|happens in cerebellum,regulates a function/process that happens in CNS neuron (sensu Vertebrata)		IGI	MGI:107202 	J:59934 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process	happens in telencephalon,regulates a function/process that happens in CNS neuron (sensu Vertebrata)		IGI	MGI:88139 	J:39573 	
